global index i, global index j, local index i, local index j, tx, ty, tz, r11, r12, r13, r21, r22, r23, r31, r32, r33, number of matches 
15, 16, 75, 80, -0.06523982929300837, 0.21614560885390544, 0.0072931429480270656, 0.9999403482908503, -0.009198620851933152, 0.0058894171524224775, 0.009478230178798558, 0.9987363631637898, -0.04935423028519801, -0.005427984216132376, 0.04940710747239732, 0.9987639734784993, 573
16, 17, 80, 85, -0.01706388670388009, 0.1043649429407413, -0.018007217076086494, 0.999808160639321, 0.016518671919065607, -0.010524989170911546, -0.016664907813541185, 0.9997636528567386, -0.013961349294284863, 0.01029187867125012, 0.014134068932234083, 0.9998471409814779, 793
17, 18, 85, 90, 0.03310912154062113, 0.013504132958740927, 0.0056837128112784885, 0.9996371919208643, -0.009720998318024233, 0.02511944904392148, 0.009167502236653741, 0.9997146918227545, 0.022056560395399796, -0.02532669404620637, -0.02181827549179689, 0.9994411045295534, 823
18, 19, 90, 96, 0.05224214984150947, 0.03340704570527489, 0.03745812152896935, 0.99997972784004, 0.004458985932234025, -0.004545476148428987, -0.0044791240577033735, 0.9999801567147814, -0.004429856019910435, 0.004525633285574537, 0.004450125968730729, 0.9999798573082495, 1131
19, 20, 96, 101, 0.13254958062458747, 0.04132475298011019, -0.01338268904155784, 0.9996562332508937, -0.025496556826072065, 0.006110721123556329, 0.025540665580650337, 0.9996474770642891, -0.007252310024995479, -0.00592365801953361, 0.007405888806628159, 0.999955030532199, 716
20, 21, 101, 105, -0.04163885759266283, 0.010652333007181993, -0.0664209763882713, 0.9996481550115547, 0.006978216320553113, -0.02559044116420945, -0.00635809294445247, 0.9996860841511933, 0.02423443435615325, 0.025751521044493388, -0.024063201188466152, 0.9993787177604186, 849
21, 22, 105, 110, 0.07378322799858597, 0.01178858637565322, 0.027574439672847773, 0.9996713317748126, 0.022093492377854976, 0.013004077134582188, -0.022253375305370606, 0.9996769264795498, 0.012281284620075007, -0.012728539393458013, -0.012566632761031779, 0.9998400192160535, 856
22, 23, 110, 115, -0.10904511761631472, -0.022590892853268412, 0.005016938471185686, 0.9996055594121191, 0.0012334103527708471, 0.02805716114090133, -0.0010647607044345364, 0.9999812821928274, -0.006025076649372988, -0.028064067364284427, 0.005992825951936838, 0.9995881622748853, 841
23, 24, 115, 124, -0.03945967782542104, -0.0072184906459353704, 0.007413369433630926, 0.9997052992054205, -0.024039805814464212, -0.00337675539589428, 0.02398980196078822, 0.9996121856155994, -0.014140996099508123, 0.0037153926418347265, 0.014055821043502142, 0.9998943092908921, 759
24, 25, 124, 125, 0.006829096617010192, -0.1938431109869425, 0.009694763712964008, 0.9999714883347074, 0.0072692960379941015, 0.002044468826387182, -0.007230001369683482, 0.9998006408237181, -0.01861197702226284, -0.002179357213592684, 0.018596664851388507, 0.9998246918627989, 245
25, 26, 125, 133, 0.6746412361734162, -0.4544476602406628, 1.1653067985620211, 0.9999088521326148, 0.008965169405472208, 0.010095205018547165, -0.007317152564559916, 0.9882217358848088, -0.1528537209333249, -0.011346660529965745, 0.15276592048734972, 0.9881972610933867, 55
26, 27, 133, 139, -0.004418067168979172, -0.04389934601181269, 0.004058320847505551, 0.9957577860652204, 0.0035875075396521535, -0.09194325032401211, -0.0054509560416623765, 0.999784634536638, -0.020024275833927668, 0.09185161168277177, 0.020440507187794995, 0.9955628895741259, 259
28, 29, 4, 5, 0.010809673793691863, 0.0485753952676301, -0.0017379126701189379, 0.9999968655401031, 0.0012555416669997835, 0.0021662236937434747, -0.001231282778402952, 0.9999369234029871, -0.011163922164191062, -0.0021801038251687012, 0.011161219937396398, 0.9999353350676337, 904
29, 30, 5, 10, 0.03426372611717859, 0.16229069572617325, -0.006992836290863225, 0.9999376000612944, -0.004774301859317233, 0.010099605210865933, 0.003910239181638199, 0.9964658670916654, 0.08390760246126652, -0.010464512086169862, -0.0838628747600016, 0.9964223563448317, 515
30, 31, 10, 15, -0.0066587921631589345, 0.1696381634725771, 0.005880714995880415, 0.9999902598423858, -0.003990840719587659, -0.0018850492588812072, 0.0037571455084296906, 0.9938228267510972, -0.110914709962598, 0.0023160479239463425, 0.11090654723148538, 0.9938281409294084, 580
31, 32, 15, 20, -0.018297638244751144, 0.1781969768529728, 0.013038094865637156, 0.999792423645603, -0.0017553763897832923, 0.020298479612550213, 0.00369803994763889, 0.9953679389498623, -0.09606763560767229, -0.020035820956392635, 0.09612275882658085, 0.995167815553824, 518
32, 33, 20, 25, -0.038483885050978696, 0.1584154825294034, 0.01882375212663223, 0.9999877370153405, -0.0009414868115031093, -0.0048620388234641276, 0.0012487856242748183, 0.9979751586616994, 0.06359263501870116, 0.00479232233908735, -0.06359792682738188, 0.9979640962228337, 544
33, 34, 25, 30, -0.0007101780429625661, 0.13147285069368878, 0.011297626802945776, 0.9999730369531653, 0.005569084587671826, 0.004786508489367916, -0.005491983035698348, 0.9998573397024171, -0.015973051228266012, -0.004874780918055908, 0.01594633312271479, 0.9998609658202187, 545
34, 35, 30, 35, -0.026881832653880375, 0.12389740167645011, 0.005704124539714259, 0.9999838210505541, -0.005026560634066902, 0.0026629542477248167, 0.005084132322584283, 0.9997434369303262, -0.022072877321851096, -0.0025513203757821347, 0.022086059017649165, 0.9997528178311923, 394
35, 36, 35, 40, -0.02181964621560333, 0.09235137145897597, -0.001900966657760893, 0.9999852120224466, 0.0014687632561243534, -0.005236264977997942, -0.001376295253644868, 0.9998438220444669, 0.017619231847251206, 0.00526132566917721, -0.01761176464780919, 0.9998310578283679, 659
36, 37, 40, 45, -0.1908162634262209, -0.02319201856448809, 0.004656868883484967, 0.9997034714734814, 0.01361738482917417, -0.020187519765549118, -0.013603371544750824, 0.9999071242794662, 0.0008313229118938732, 0.02019696527911366, -0.0005564580689978828, 0.9997958656385473, 742
37, 38, 45, 51, -0.4880580701786151, -0.3391643884401403, 0.9754163943300187, 0.6342982370953455, 0.5224829690455625, -0.5698046099103358, -0.6106755687305071, 0.7905932672277018, 0.045140176892654635, 0.47406866187653407, 0.31933341959707645, 0.8205394999358836, 67
38, 39, 51, 56, -0.1469099953187169, -0.18597067516407745, -0.3089838491977838, 0.9983835645259002, -0.05414456843003267, -0.01728073476687421, 0.05312205928747544, 0.9970738302224672, -0.05497111880393389, 0.020206555906820804, 0.0539642733206311, 0.9983383956872343, 83
40, 41, 4, 5, -0.0012054276686770428, 0.029026717943390953, 0.00044026568637873815, 0.9999958380020024, 0.0011971161984548583, -0.002625050757622529, -0.0013153214487922732, 0.9989634584172743, -0.045500315125113364, 0.0025678606190842287, 0.04550357853845859, 0.9989608753259734, 730
41, 42, 5, 12, -0.11268951955091568, -0.049338401512090145, 0.07124433125216038, 0.9977845585526114, -0.01685448116827955, -0.06435760389043271, 0.01573626696675204, 0.9997169658197208, -0.017842593818227354, 0.06464011615027317, 0.01679031616019328, 0.9977673780332368, 808
42, 43, 12, 15, -0.006592791698687316, -0.31080193776537957, 0.02789342375992835, 0.9993690947756719, 0.00391177214940494, 0.03530028960086664, 0.000100916452309117, 0.9935993178713541, -0.11296187561053132, -0.03551622478704025, 0.11289416975305215, 0.9929720561086527, 509
43, 44, 15, 20, 0.031590898364435564, -0.1474248253824102, -0.0012390950290019924, 0.9998668329648165, -0.00478836293129313, 0.01560089476107287, 0.00303801823392136, 0.9938886644627531, 0.11034533564068427, -0.01603392597332963, -0.11028324547674104, 0.9937708583899, 436
44, 45, 20, 25, 0.024309686146667838, -0.04335892037828575, -0.004674130342369593, 0.9998115521386565, 0.0025720843642956224, -0.01924174088051421, -0.0019065845835361242, 0.9994020160359532, 0.03452499498187619, 0.019319035827797638, -0.03448180281388557, 0.9992185847598055, 593
45, 46, 25, 30, -0.003259597695701516, -0.018149692837953688, -0.014232859900936715, 0.9999944498902046, -0.0017668043321266028, -0.0028246400194491027, 0.0017854254134459509, 0.9999766027481833, 0.0066035000034583855, 0.0028129068382221475, -0.006608506537382823, 0.9999742072655996, 696
